"kd_jenis_prw";"nm_perawatan";"kd_kategori";"material";"bhp";"tarif_tindakandr";"tarif_tindakanpr";"kso";"menejemen";"total_byrdr";"total_byrpr";"total_byrdrpr";"kd_pj";"kd_poli";"status"
"C064";"Bedah Minor Eksisi Dengan Penyulit Dengan Anestesi Lokal Oleh Dokter Umum.";"-";"55000";"0";"125000";"0";"0";"0";"180000";"0";"0";"A38";"U0009";"1"
"C065";"Bedah Minor Eksisi Tanpa Penyulit Dengan Anestesi Lokal Oleh Dokter Spesialis.";"-";"55000";"0";"250000";"0";"0";"0";"305000";"0";"0";"A38";"U0009";"1"
"C066";"Bedah Minor Eksisi Tanpa Penyulit Dengan Anestesi Lokal Oleh Dokter Umum.";"-";"55000";"0";"75000";"0";"0";"0";"130000";"0";"0";"A38";"U0009";"1"
"C067";"Bedah Minor Ekstirpasi Dengan Penyulit Dengan Anestesi Lokal Oleh Dokter Spesial";"-";"35000";"0";"325000";"0";"0";"0";"360000";"0";"0";"A38";"U0009";"1"
"C068";"Bedah Minor Ekstirpasi Dengan Penyulit Dengan Anestesi Lokal Oleh Dokter Umum";"-";"35000";"0";"125000";"0";"0";"0";"160000";"0";"0";"A38";"U0009";"1"
"C069";"Bedah Minor Ekstirpasi Tanpa Penyulit Dengan Anestesi Lokal Oleh Dokter Spesiali";"-";"35000";"0";"250000";"0";"0";"0";"285000";"0";"0";"A38";"U0009";"1"
"C070";"Bedah Minor Ekstirpasi Tanpa Penyulit Dengan Anestesi Lokal Oleh Dokter Umum";"-";"35000";"0";"75000";"0";"0";"0";"110000";"0";"0";"A38";"U0009";"1"
"C071";"Breast Care/Perawatan Payudara Kelas I Oleh Bidan";"-";"35000";"0";"0";"35000";"0";"0";"0";"70000";"0";"A38";"U0009";"1"
"C072";"Breast Care/Perawatan Payudara Kelas I Oleh Perawat";"-";"35000";"0";"0";"35000";"0";"0";"0";"70000";"0";"A38";"U0009";"1"
"C073";"Breast Care/Perawatan Payudara Kelas II Oleh Bidan";"-";"35000";"0";"0";"30000";"0";"0";"0";"65000";"0";"A38";"U0009";"1"
"C074";"Breast Care/Perawatan Payudara Kelas II Oleh Perawat";"-";"35000";"0";"0";"30000";"0";"0";"0";"65000";"0";"A38";"U0009";"1"
"C075";"Breast Care/Perawatan Payudara Kelas III Oleh Bidan";"-";"35000";"0";"0";"25000";"0";"0";"0";"60000";"0";"A38";"U0009";"1"
"C076";"Breast Care/Perawatan Payudara Kelas III Oleh Perawat";"-";"35000";"0";"0";"25000";"0";"0";"0";"60000";"0";"A38";"U0009";"1"
"C077";"Breast Care/Perawatan Payudara Kelas VIP Oleh Bidan";"-";"35000";"0";"0";"45000";"0";"0";"0";"80000";"0";"A38";"U0009";"1"
"C078";"Breast Care/Perawatan Payudara Kelas VIP Oleh Perawat";"-";"35000";"0";"0";"45000";"0";"0";"0";"80000";"0";"A38";"U0009";"1"
"C079";"Cross Incisi Oleh Perawat";"-";"25000";"0";"0";"7500";"0";"0";"0";"32500";"0";"A38";"U0009";"1"
"C080";"Cross Incisi Oleh Dokter Spesialis";"-";"25000";"0";"50000";"0";"0";"0";"75000";"0";"0";"A38";"U0009";"1"
"C081";"Cross Incisi Oleh Dokter Umum";"-";"25000";"0";"10000";"0";"0";"0";"35000";"0";"0";"A38";"U0009";"1"
"C082";"Cuci Pesarium Oleh Bidan";"-";"20000";"0";"0";"20000";"0";"0";"0";"40000";"0";"A38";"U0009";"1"
"C083";"Cuci Pesarium Oleh Perawat";"-";"20000";"0";"0";"20000";"0";"0";"0";"40000";"0";"A38";"U0009";"1"
"C092";"Debridement/ Nekrotomi Berat (>200cm2) Dengan Anestesi Lokal Dengan Penyulit Ole";"-";"125000";"0";"750000";"0";"0";"0";"875000";"0";"0";"A38";"U0009";"1"
"C093";"Debridement/ Nekrotomi Berat (>200cm2) Dengan Anestesi Lokal Dengan Penyulit Ole";"-";"125000";"0";"350000";"0";"0";"0";"475000";"0";"0";"A38";"U0009";"1"
"C094";"Debridement/ Nekrotomi Berat (>200cm2) Dengan Anestesi Lokal Dengan Penyulit Ole";"-";"125000";"0";"0";"120000";"0";"0";"0";"245000";"0";"A38";"U0009";"1"
"C095";"Debridement/ Nekrotomi Berat (>200cm2) Dengan Anestesi Lokal Tanpa penyulit Oleh";"-";"125000";"0";"450000";"0";"0";"0";"575000";"0";"0";"A38";"U0009";"1"
"C096";"Debridement/ Nekrotomi Berat (>200cm2) Dengan Anestesi Lokal Tanpa penyulit Oleh";"-";"125000";"0";"150000";"0";"0";"0";"275000";"0";"0";"A38";"U0009";"1"
"C097";"Debridement/ Nekrotomi Berat (>200cm2) Dengan Anestesi Lokal Tanpa penyulit Oleh";"-";"125000";"0";"0";"75000";"0";"0";"0";"200000";"0";"A38";"U0009";"1"
"C098";"Debridement/ Nekrotomi Ringan (<25cm2) Dengan Anestesi Lokal Dengan Penyulit Ole";"-";"50000";"0";"250000";"0";"0";"0";"300000";"0";"0";"A38";"U0009";"1"
"C099";"Debridement/ Nekrotomi Ringan (<25cm2) Dengan Anestesi Lokal Dengan Penyulit Ole";"-";"50000";"0";"125000";"0";"0";"0";"175000";"0";"0";"A38";"U0009";"1"
"C100";"Debridement/ Nekrotomi Ringan (<25cm2) Dengan Anestesi Lokal Dengan Penyulit Ole";"-";"50000";"0";"0";"55000";"0";"0";"0";"105000";"0";"A38";"U0009";"1"
"C101";"Debridement/ Nekrotomi Ringan (<25cm2) Dengan Anestesi Lokal Tanpa penyulit Oleh";"-";"50000";"0";"125000";"0";"0";"0";"175000";"0";"0";"A38";"U0009";"1"
"C102";"Debridement/ Nekrotomi Ringan (<25cm2) Dengan Anestesi Lokal Tanpa penyulit Oleh";"-";"50000";"0";"50000";"0";"0";"0";"100000";"0";"0";"A38";"U0009";"1"
"C103";"Debridement/ Nekrotomi Ringan (<25cm2) Dengan Anestesi Lokal Tanpa penyulit Oleh";"-";"50000";"0";"0";"25000";"0";"0";"0";"75000";"0";"A38";"U0009";"1"
"C104";"Debridement/ Nekrotomi Sedang (25-200cm2) Dengan Anestesi Lokal Dengan Penyulit ";"-";"75000";"0";"550000";"0";"0";"0";"625000";"0";"0";"A38";"U0009";"1"
"C105";"Debridement/ Nekrotomi Sedang (25-200cm2) Dengan Anestesi Lokal Dengan Penyulit ";"-";"75000";"0";"175000";"0";"0";"0";"250000";"0";"0";"A38";"U0009";"1"
"C106";"Debridement/ Nekrotomi Sedang (25-200cm2) Dengan Anestesi Lokal Dengan Penyulit ";"-";"75000";"0";"0";"75000";"0";"0";"0";"150000";"0";"A38";"U0009";"1"
"C107";"Debridement/ Nekrotomi Sedang (25-200cm2) Dengan Anestesi Lokal Tanpa penyulit O";"-";"75000";"0";"350000";"0";"0";"0";"425000";"0";"0";"A38";"U0009";"1"
"C108";"Debridement/ Nekrotomi Sedang (25-200cm2) Dengan Anestesi Lokal Tanpa penyulit O";"-";"75000";"0";"100000";"0";"0";"0";"175000";"0";"0";"A38";"U0009";"1"
"C109";"Debridement/ Nekrotomi Sedang (25-200cm2) Dengan Anestesi Lokal Tanpa penyulit O";"-";"75000";"0";"0";"50000";"0";"0";"0";"125000";"0";"A38";"U0009";"1"
"C110";"Defibrilasi Oleh Dokter Spesialis Kelas I";"-";"250000";"0";"250000";"0";"0";"0";"500000";"0";"0";"A38";"U0009";"1"
"C111";"Defibrilasi Oleh Dokter Spesialis Kelas II";"-";"250000";"0";"175000";"0";"0";"0";"425000";"0";"0";"A38";"U0009";"1"
"C112";"Defibrilasi Oleh Dokter Spesialis Kelas III";"-";"250000";"0";"150000";"0";"0";"0";"400000";"0";"0";"A38";"U0009";"1"
"C113";"Defibrilasi Oleh Dokter Spesialis Kelas VIP";"-";"250000";"0";"350000";"0";"0";"0";"600000";"0";"0";"A38";"U0009";"1"
"C114";"Defibrilasi Oleh Dokter Umum Kelas I";"-";"250000";"0";"125000";"0";"0";"0";"375000";"0";"0";"A38";"U0009";"1"
"C115";"Defibrilasi Oleh Dokter Umum Kelas II";"-";"250000";"0";"100000";"0";"0";"0";"350000";"0";"0";"A38";"U0009";"1"
"C116";"Defibrilasi Oleh Dokter Umum Kelas III";"-";"250000";"0";"75000";"0";"0";"0";"325000";"0";"0";"A38";"U0009";"1"
"C117";"Defibrilasi Oleh Dokter Umum Kelas VIP";"-";"250000";"0";"150000";"0";"0";"0";"400000";"0";"0";"A38";"U0009";"1"
"C118";"Dressing Infus Oleh Bidan";"-";"5000";"0";"0";"2500";"0";"0";"0";"7500";"0";"A38";"U0009";"1"
"C119";"Dressing Infus Oleh Perawat";"-";"5000";"0";"0";"2500";"0";"0";"0";"7500";"0";"A38";"U0009";"1"
"C120";"Edukasi Konseling Kanguru Mother Care Kelas I Oleh Bidan";"-";"15000";"0";"0";"25000";"0";"0";"0";"40000";"0";"A38";"U0009";"1"
"C121";"Edukasi Konseling Kanguru Mother Care Kelas I Oleh Perawat";"-";"15000";"0";"0";"25000";"0";"0";"0";"40000";"0";"A38";"U0009";"1"
"C122";"Edukasi Konseling Kanguru Mother Care Kelas II Oleh Bidan";"-";"15000";"0";"0";"20000";"0";"0";"0";"35000";"0";"A38";"U0009";"1"
"C123";"Edukasi Konseling Kanguru Mother Care Kelas II Oleh Perawat";"-";"15000";"0";"0";"20000";"0";"0";"0";"35000";"0";"A38";"U0009";"1"
"C124";"Edukasi Konseling Kanguru Mother Care Kelas III Oleh Bidan";"-";"15000";"0";"0";"15000";"0";"0";"0";"30000";"0";"A38";"U0009";"1"
"C125";"Edukasi Konseling Kanguru Mother Care Kelas III Oleh Perawat";"-";"15000";"0";"0";"15000";"0";"0";"0";"30000";"0";"A38";"U0009";"1"
"C126";"Edukasi Konseling Kanguru Mother Care Kelas VIP Oleh Bidan";"-";"15000";"0";"0";"30000";"0";"0";"0";"45000";"0";"A38";"U0009";"1"
"C127";"Edukasi Konseling Kanguru Mother Care Kelas VIP Oleh Perawat";"-";"15000";"0";"0";"30000";"0";"0";"0";"45000";"0";"A38";"U0009";"1"
"C128";"Eksplorasi Plasenta/Manual Plasenta (Retensio Plasenta) Oleh Bidan";"-";"20000";"0";"0";"50000";"0";"0";"0";"70000";"0";"A38";"U0009";"1"
"C129";"Eksplorasi Plasenta/Manual Plasenta (Retensio Plasenta) Oleh Dokter Spesialis";"-";"20000";"0";"150000";"0";"0";"0";"170000";"0";"0";"A38";"U0009";"1"
"C130";"Eksplorasi Plasenta/Manual Plasenta (Retensio Plasenta) Oleh Dokter Umum";"-";"20000";"0";"75000";"0";"0";"0";"95000";"0";"0";"A38";"U0009";"1"
"C135";"Ekstraksi Corpus Alienum (Corpal) Telinga / Hidung Tanpa Penyulit Oleh Dokter ";"KP022";"60000";"0";"40000";"0";"0";"0";"100000";"60000";"100000";"A09";"U0009";"1"
"C137";"External Version/Versi Luar Oleh Dokter Spesialis";"-";"150000";"0";"175000";"0";"0";"0";"325000";"0";"0";"A38";"U0009";"1"
"C138";"Extraksi Cerumen Dengan Penyulit Oleh Dokter Spesialis";"-";"12000";"0";"50000";"0";"0";"0";"62000";"0";"0";"A38";"U0009";"1"
"C139";"Extraksi Cerumen Dengan Penyulit Oleh Dokter Umum";"-";"12000";"0";"25000";"0";"0";"0";"37000";"0";"0";"A38";"U0009";"1"
"C140";"Extraksi Cerumen Dengan Penyulit Oleh Perawat";"-";"12000";"0";"0";"10000";"0";"0";"0";"22000";"0";"A38";"U0009";"1"
"C141";"Extraksi Cerumen Tanpa Penyulit Oleh Dokter Spesialis";"-";"8500";"0";"35000";"0";"0";"0";"43500";"0";"0";"A38";"U0009";"1"
"C142";"Extraksi Cerumen Tanpa Penyulit Oleh Dokter Umum";"-";"8500";"0";"15000";"0";"0";"0";"23500";"0";"0";"A38";"U0009";"1"
"C143";"Extraksi Cerumen Tanpa Penyulit Oleh Perawat";"-";"8500";"0";"0";"7500";"0";"0";"0";"16000";"0";"A38";"U0009";"1"
"C146";"Gastric Lavage/Bilas Lambung di IGD Dengan Penyulit Oleh Dokter Spesialis";"-";"30000";"0";"125000";"0";"0";"0";"155000";"0";"0";"A38";"U0009";"1"
"C147";"Gastric Lavage/Bilas Lambung di IGD Dengan Penyulit Oleh Dokter Umum";"-";"30000";"0";"50000";"0";"0";"0";"80000";"0";"0";"A38";"U0009";"1"
"C148";"Gastric Lavage/Bilas Lambung di IGD Dengan Penyulit Oleh Perawat";"-";"30000";"0";"0";"25000";"0";"0";"0";"55000";"0";"A38";"U0009";"1"
"C149";"Gastric Lavage/Bilas Lambung di IGD Tanpa penyulit Oleh Dokter Spesialis";"-";"30000";"0";"75000";"0";"0";"0";"105000";"0";"0";"A38";"U0009";"1"
"C150";"Gastric Lavage/Bilas Lambung di IGD Tanpa penyulit Oleh Dokter Umum";"-";"30000";"0";"25000";"0";"0";"0";"55000";"0";"0";"A38";"U0009";"1"
"C151";"Gastric Lavage/Bilas Lambung di IGD Tanpa penyulit Oleh Perawat";"-";"30000";"0";"0";"15000";"0";"0";"0";"45000";"0";"A38";"U0009";"1"
"C152";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas I Oleh Dokter S";"-";"21000";"0";"245000";"0";"0";"0";"266000";"0";"0";"A38";"U0009";"1"
"C153";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas I Oleh Dokter U";"-";"21000";"0";"52500";"0";"0";"0";"73500";"0";"0";"A38";"U0009";"1"
"C154";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas I Oleh Perawat";"-";"21000";"0";"0";"21000";"0";"0";"0";"42000";"0";"A38";"U0009";"1"
"C155";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas II Oleh Dokter ";"-";"21000";"0";"175000";"0";"0";"0";"196000";"0";"0";"A38";"U0009";"1"
"C156";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas II Oleh Dokter ";"-";"21000";"0";"35000";"0";"0";"0";"56000";"0";"0";"A38";"U0009";"1"
"C157";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas II Oleh Perawat";"-";"21000";"0";"0";"17500";"0";"0";"0";"38500";"0";"A38";"U0009";"1"
"C158";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas III Oleh Dokter";"-";"21000";"0";"119000";"0";"0";"0";"140000";"0";"0";"A38";"U0009";"1"
"C159";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas III Oleh Dokter";"-";"21000";"0";"24500";"0";"0";"0";"45500";"0";"0";"A38";"U0009";"1"
"C160";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas III Oleh Perawa";"-";"21000";"0";"0";"14000";"0";"0";"0";"35000";"0";"A38";"U0009";"1"
"C161";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas VIP Oleh Dokter";"-";"21000";"0";"315000";"0";"0";"0";"336000";"0";"0";"A38";"U0009";"1"
"C162";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas VIP Oleh Dokter";"-";"21000";"0";"70000";"0";"0";"0";"91000";"0";"0";"A38";"U0009";"1"
"C163";"Gastric Lavage/Bilas Lambung di Rawat Inap Dengan Penyulit Kelas VIP Oleh Perawa";"-";"21000";"0";"0";"31500";"0";"0";"0";"52500";"0";"A38";"U0009";"1"
"C164";"Gastric Lavage/Bilas Lambung di Rawat Inap Tanpa penyulit Kelas I Oleh Dokter Sp";"-";"21000";"0";"175000";"0";"0";"0";"196000";"0";"0";"A38";"U0009";"1"
"C165";"Gastric Lavage/Bilas Lambung di Rawat Inap Tanpa penyulit Kelas I Oleh Dokter Um";"-";"21000";"0";"45500";"0";"0";"0";"66500";"0";"0";"A38";"U0009";"1"
"C166";"Gastric Lavage/Bilas Lambung di Rawat Inap Tanpa penyulit Kelas I Oleh Perawat";"-";"21000";"0";"0";"17500";"0";"0";"0";"38500";"0";"A38";"U0009";"1"
"C167";"Gastric Lavage/Bilas Lambung di Rawat Inap Tanpa penyulit Kelas II Oleh Dokter S";"-";"21000";"0";"140000";"0";"0";"0";"161000";"0";"0";"A38";"U0009";"1"
"C168";"Gastric Lavage/Bilas Lambung di Rawat Inap Tanpa penyulit Kelas II Oleh Dokter U";"-";"21000";"0";"31500";"0";"0";"0";"52500";"0";"0";"A38";"U0009";"1"
"C169";"Gastric Lavage/Bilas Lambung di Rawat Inap Tanpa penyulit Kelas II Oleh Perawat";"-";"21000";"0";"0";"14000";"0";"0";"0";"35000";"0";"A38";"U0009";"1"
"C170";"Gastric Lavage/Bilas Lambung di Rawat Inap Tanpa penyulit Kelas III Oleh Dokter ";"-";"21000";"0";"84000";"0";"0";"0";"105000";"0";"0";"A38";"U0009";"1"
"C171";"Gastric Lavage/Bilas Lambung di Rawat Inap Tanpa penyulit Kelas III Oleh Dokter ";"-";"21000";"0";"14000";"0";"0";"0";"35000";"0";"0";"A38";"U0009";"1"
"C172";"Gastric Lavage/Bilas Lambung di Rawat Inap Tanpa penyulit Kelas III Oleh Perawat";"-";"21000";"0";"0";"8750";"0";"0";"0";"29750";"0";"A38";"U0009";"1"
